Material	Material_Descr	Average_Price	Base UoM	No. Cases/Truck	Plant	Plant Descr.	Material Group	Material Grp. Descr.	Purchasing Group	Purch Grp. Descr.	Product Hierarchy	Product Hier. Descr.	Weight of a Truck	FDC_ID	Team Member
110059	K CORN WHOLE KERNEL(LIQ) CAN-6/10	0.6498	lb	912	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602004031220	VEGETABLES/CORN/CANNED	36252	169217	Dojun
110066	K BEANS GREAT NORTHERN DRY BAG-25 LB	0.73	lb	1600	1000	DOMESTIC STATISTICAL 1000	704010	BEANS, DRY	110	AMS-FRUIT & VEG	103602002031340	VEGETABLES/BEANS/DRY	40000	747446	Dojun
110073	K SUNFLOWER SEED BUTTER 6-5#'S	1.85	lb	1232	1000	DOMESTIC STATISTICAL 1000	601051	SEED BUTTER, KOSHER	210	AMS-DOMESTIC	102402000531175	OIL/BUTTERY SPREAD/TUB	36960	170155	Dojun
110080	CHICKEN OVEN ROASTED FRZ 8 PC CTN-30 LB	4.7234	lb	1200	1000	DOMESTIC STATISTICAL 1000	301030	CHICKEN, COOKED	120	AMS-POULTRY	102802001031400	POULTRY/EGGS/CHICKEN/FROZEN	36000	174608	Dojun
110101	K TOMATO SAUCE CAN-6/10	0.7345	lb	912	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602011031220	VEGETABLES/TOMATOES/CANNED	36252	170054	Dojun
110161	FRUIT MIX DRIED PKG-5/5 LB	3.3016	lb	1456	1000	DOMESTIC STATISTICAL 1000	702020	FRUIT, DRIED	110	AMS-FRUIT & VEG	101202010031340	FRUIT/FRUIT NUT MIX/DRIED	36400	2344690	Yazda
110177	SPAGHETTI SAUCE MEATLESS POUCH-6/106 OZ	0.9447	lb	960	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602011031220	VEGETABLES/TOMATOES/CANNED	38160	2345258	Yazda
110186	TOMATO SALSA POUCH-6/106 OZ	0.9388	lb	960	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602011031220	VEGETABLES/TOMATOES/CANNED	38160	2345251	Yazda
110187	TOMATO SAUCE POUCH-6/106 OZ	0.9665	lb	960	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602011031220	VEGETABLES/TOMATOES/CANNED	38160	170463	Yazda
110208	FLOUR WHITE WHOLE WHEAT BLEND BAG-25 LB	0.3961	lb	1728	1000	DOMESTIC STATISTICAL 1000	506020	FLOUR, WHEAT	210	AMS-DOMESTIC	100802007031100	FLOUR/WHOLE WHEAT/BAG	43200	2261421	Yazda
110227	POTATO FOR PROCESS INTO DEHY PRD-BULK	0.1537	lb	0	1000	DOMESTIC STATISTICAL 1000	703030	VEGETABLE, FRESH	110	AMS-FRUIT & VEG	103602007031380	VEGETABLES/POTATO/FRESH	40000	2344877	Yazda
110242	CHEESE NAT AMER FBD BARREL-500 LB(40800)	2.1037	lb	0	1000	DOMESTIC STATISTICAL 1000	401040	CHEESE, NATURAL AMER	220	AMS-DAIRY	100402001031180	CHEESE/AMERICAN/BULK	40800	2341167	Yazda
110244	CHEESE MOZ LM PT SKM UNFZ PROC PK(41125)	2.0065	lb	0	1000	DOMESTIC STATISTICAL 1000	401020	CHEESE, MOZZARELLA	220	AMS-DAIRY	100402004031180	CHEESE/MOZZARELLA/BULK	41125	1948692	Yazda
110253	CHEESE CHED WHT BLOCK-40 LB (40800)	2.1037	lb	0	1000	DOMESTIC STATISTICAL 1000	401040	CHEESE, NATURAL AMER	220	AMS-DAIRY	100402002031120	CHEESE/CHEDDAR WHITE/BLOCK	40800	1898423	Yazda
110349	BEEF 100% PTY 85/15 FRZ 2.0MMA CTN-40 LB	3.6682	lb	950	1000	DOMESTIC STATISTICAL 1000	101030	BEEF, GROUND	130	AMS-LIVESTOCK	101802001031400	MEAT/BEEF/FROZEN	38000	2341260	Yazda
110361	APPLESAUCE CUP-96/4.5	0.844	lb	1400	1000	DOMESTIC STATISTICAL 1000	702010	FRUIT, CANNED	110	AMS-FRUIT & VEG	101202001031220	FRUIT/APPLES/CANNED	37800	461425	Yazda
110381	BEANS PINTO DRY TOTE-2000 LB	0.5168	lb	0	1000	DOMESTIC STATISTICAL 1000	704010	BEANS, DRY	110	AMS-FRUIT & VEG	103602002031340	VEGETABLES/BEANS/DRY	44000	2342853	Yazda
110393	PANCAKES WHOLE WHEAT FZN-144 COUNT	1.2171	lb	2100	1000	DOMESTIC STATISTICAL 1000	503040	PANCAKES	210	AMS-DOMESTIC	101402006031460	GRAIN-PROCESSED/WHOLE WHEAT PANCAKES/PAC	22680	2343792	Yazda
110394	"TORTILLA WHOLE WHEAT FZN 8"" CTN-12/24"	1.0282	lb	1500	1000	DOMESTIC STATISTICAL 1000	502030	TORTILLAS	210	AMS-DOMESTIC	101402007031460	GRAIN-PROCESSED/WHOLE WHEAT TORTILLA/PAC	40500	2343305	Yazda
110396	CHEESE MOZ LM PT SKM STRING BOX-360/1 OZ	3.7032	lb	1680	1000	DOMESTIC STATISTICAL 1000	401020	CHEESE, MOZZARELLA	220	AMS-DAIRY	100402004031580	CHEESE/MOZZARELLA/STRING	37800	2431005	Yazda
110398	YOGURT HI PROTEIN VANILLA TUB-6/32 OZ	1.7093	lb	2860	1000	DOMESTIC STATISTICAL 1000	411010	YOGURT	220	AMS-DAIRY	104002002031175	YOGURT/HIGH PROTEIN/TUB	34320	2340832	Yazda
110400	YOGURT HI PROTEIN BLUEBERRY CUP-24/4 OZ	1.6973	lb	4900	1000	DOMESTIC STATISTICAL 1000	411010	YOGURT	220	AMS-DAIRY	104002002031300	YOGURT/HIGH PROTEIN/CUP	29400	170914	Yazda
