Material,Material_Descr,Average Price,Base UoM,No. Cases/Truck,Plant,Plant Descr.,Material Group,Material Grp. Descr.,Purchasing Group,Purch Grp. Descr.,Product Hierarchy,Product Hier. Descr.,Weight of a Truck,FDC_ID,Team Member,,,,,,,,,,
100256,STRAWBERRY FRZ CUP-96/4.5 OZ, 	1.9049 ,LB,"1,400",1000,DOMESTIC STATISTICAL 1000,702040,"FRUIT, FROZEN",110,AMS-FRUIT & VEG,101202019031400,FRUIT/STRAWBERRY/FROZEN,"37,800.000",168173,Kevin,,,,,,,,,,
100258,APPLE SLICES FRZ CTN-30 LB, 	1.1350 ,LB,"1,320",1000,DOMESTIC STATISTICAL 1000,702040,"FRUIT, FROZEN",110,AMS-FRUIT & VEG,101202001031400,FRUIT/APPLES/FROZEN,"39,600.000",171688,Kevin,,,,,,,,,,
100261,APRICOT FRZ CUP-96/4.5 OZ, 	1.7363 ,LB,"1,400",1000,DOMESTIC STATISTICAL 1000,702040,"FRUIT, FROZEN",110,AMS-FRUIT & VEG,101202002031400,FRUIT/APRICOT/FROZEN,"36,960.000",171703,Kevin,,,,,,,,,,
100277,ORANGE JUICE SINGLE CTN-70/4 OZ, 	1.2585 ,LB,"1,920",1000,DOMESTIC STATISTICAL 1000,702050,"FRUIT, JUICE",110,AMS-FRUIT & VEG,101202012031420,FRUIT/ORANGE/JUICE,"36,480.000",169098,Kevin,,,,,,,,,,
100283,ORANGES CTN-34-39 LB,TBD,LB,"1,026",1000,DOMESTIC STATISTICAL 1000,702030,"FRUIT, FRESH",110,AMS-FRUIT & VEG,101202012031380,FRUIT/ORANGE/FRESH,"37,449.000",169097,Kevin,,,,,,,,,,
100293,RAISINS BOX-144/1.33 OZ, 	1.8823 ,LB,"2,964",1000,DOMESTIC STATISTICAL 1000,702020,"FRUIT, DRIED",110,AMS-FRUIT & VEG,101202017031340,FRUIT/RAISINS/DRIED,"35,568.000",2557962,Kevin,,,,,,,,,,
100299,CHERRIES DRIED PKG-4/4 LB, 	4.7313 ,LB,"1,848",1000,DOMESTIC STATISTICAL 1000,702020,"FRUIT, DRIED",110,AMS-FRUIT & VEG,101202005031340,FRUIT/CHERRY/DRIED,"29,568.000",171708,Kevin,,,,,,,,,,
100307,BEANS GREEN CAN-6/10, 	0.6804 ,LB,912,1000,DOMESTIC STATISTICAL 1000,703010,"VEGETABLE, CANNED",110,AMS-FRUIT & VEG,103602002531220,VEGETABLES/BEANS GREEN/CANNED,"34,656.000",621650,Kevin,,,,,,,,,,
100309,CARROTS CAN-6/10, 	0.6539 ,LB,912,1000,DOMESTIC STATISTICAL 1000,703010,"VEGETABLE, CANNED",110,AMS-FRUIT & VEG,103602003031220,VEGETABLES/CARROTS/CANNED,"36,024.000",N/A,Kevin,,,,,,,,,,
100313,CORN WHOLE KERNEL(LIQ) CAN-6/10, 	0.8011 ,LB,912,1000,DOMESTIC STATISTICAL 1000,703010,"VEGETABLE, CANNED",110,AMS-FRUIT & VEG,103602004031220,VEGETABLES/CORN/CANNED,"36,252.000",169214,Kevin,,,,,,,,,,
100315,PEAS CAN-6/10, 	0.7164 ,LB,912,1000,DOMESTIC STATISTICAL 1000,703010,"VEGETABLE, CANNED",110,AMS-FRUIT & VEG,103602006031220,VEGETABLES/PEAS/CANNED,"36,024.000",383531,Kevin,,,,,,,,,,
100317,SWEET POTATOES W/ SYRUP CAN-6/10, 	0.7496 ,LB,912,1000,DOMESTIC STATISTICAL 1000,703010,"VEGETABLE, CANNED",110,AMS-FRUIT & VEG,103602010031220,VEGETABLES/SWEET POTATO/CANNED,"36,936.000",170083,Kevin,,,,,,,,,,
100327,TOMATO PASTE CAN-6/10, 	1.1782 ,LB,912,1000,DOMESTIC STATISTICAL 1000,703010,"VEGETABLE, CANNED",110,AMS-FRUIT & VEG,103602011031220,VEGETABLES/TOMATOES/CANNED,"37,957.440",170459,Kevin,,,,,,,,,,
100329,TOMATO DICED CAN-6/10, 	0.6354 ,LB,912,1000,DOMESTIC STATISTICAL 1000,703010,"VEGETABLE, CANNED",110,AMS-FRUIT & VEG,103602011031220,VEGETABLES/TOMATOES/CANNED,"34,884.000",333281,Kevin,,,,,,,,,,
100330,TOMATO SALSA CAN-6/10, 	0.8119 ,LB,912,1000,DOMESTIC STATISTICAL 1000,703010,"VEGETABLE, CANNED",110,AMS-FRUIT & VEG,103602011031220,VEGETABLES/TOMATOES/CANNED,"36,252.000",461278,Kevin,,,,,,,,,,
100332,TOMATO PASTE FOR BULK PROCESSING, 	0.9479 ,LB,0,1000,DOMESTIC STATISTICAL 1000,703010,"VEGETABLE, CANNED",110,AMS-FRUIT & VEG,103602011031220,VEGETABLES/TOMATOES/CANNED,"39,900.000",N/A,Kevin,,,,,,,,,,
